subset,rul_bucket,rank,sensor_id,symbol,quantity,units,subsystem,total_abs_shap
FD001,warning zone (RUL <= 30),7,sensor_12,phi,Fuel-flow / Ps30 ratio,pps/psia,Combustor,0.33836951332602505
FD001,warning zone (RUL <= 30),8,sensor_8,Nf,Physical fan speed,rpm,Fan,0.32739451821299853
FD001,warning zone (RUL <= 30),9,sensor_13,NRf,Corrected fan speed,rpm,Fan,0.3129134954374362
FD001,warning zone (RUL <= 30),10,sensor_7,P30,HPC outlet total pressure,psia,HPC,0.31224663537860425
FD001,warning zone (RUL <= 30),11,sensor_9,Nc,Physical core speed,rpm,Core,0.29224746533975854
FD001,warning zone (RUL <= 30),12,sensor_3,T30,HPC outlet total temperature,°R,HPC,0.2813338566736409
FD001,warning zone (RUL <= 30),13,sensor_20,W31,HPT coolant bleed,lbm/s,HPT,0.24492163062909383
FD001,warning zone (RUL <= 30),14,sensor_2,T24,LPC outlet total temperature,°R,LPC,0.2378800584475837
FD001,warning zone (RUL <= 30),15,sensor_6,P15,Bypass-duct total pressure,psia,Fan,0.12904053030996668
FD002,overall,1,sensor_16,farB,Burner fuel-air ratio,—,Combustor,0.2558779086517089
FD002,overall,2,sensor_8,Nf,Physical fan speed,rpm,Fan,0.2135627178334114
FD002,overall,3,sensor_13,NRf,Corrected fan speed,rpm,Fan,0.20821989133586563
FD002,overall,4,sensor_7,P30,HPC outlet total pressure,psia,HPC,0.20172713139000592
FD002,overall,5,sensor_11,Ps30,HPC outlet static pressure,psia,HPC,0.2016716291115226
FD002,overall,6,sensor_17,htBleed,Bleed enthalpy,—,HPC,0.19801196789841277
FD002,overall,7,sensor_4,T50,LPT outlet total temperature,°R,LPT,0.19773030462018798
FD002,overall,8,sensor_15,BPR,Bypass ratio,—,Performance,0.19502954235672376
FD002,overall,9,sensor_3,T30,HPC outlet total temperature,°R,HPC,0.1877700978992283
FD002,overall,10,sensor_2,T24,LPC outlet total temperature,°R,LPC,0.18230638553691816
FD002,overall,11,sensor_9,Nc,Physical core speed,rpm,Core,0.18142656162448823
FD002,overall,12,sensor_14,NRc,Corrected core speed,rpm,Core,0.18120717275839332
FD002,overall,13,sensor_20,W31,HPT coolant bleed,lbm/s,HPT,0.17508838037002591
FD002,overall,14,sensor_21,W32,LPT coolant bleed,lbm/s,LPT,0.17312120756932756
FD002,overall,15,sensor_6,P15,Bypass-duct total pressure,psia,Fan,0.1634085203887349
FD002,overall,16,sensor_10,epr,Engine pressure ratio (P50/P2),—,Performance,0.16263017910684277
FD002,overall,17,sensor_12,phi,Fuel-flow / Ps30 ratio,pps/psia,Combustor,0.1523833250229404
FD002,mid-life (RUL > 80),1,sensor_16,farB,Burner fuel-air ratio,—,Combustor,0.18663219499434586
FD002,mid-life (RUL > 80),2,sensor_17,htBleed,Bleed enthalpy,—,HPC,0.18541161070025888
FD002,mid-life (RUL > 80),3,sensor_7,P30,HPC outlet total pressure,psia,HPC,0.17741960838241855
FD002,mid-life (RUL > 80),4,sensor_3,T30,HPC outlet total temperature,°R,HPC,0.17361436637156705
FD002,mid-life (RUL > 80),5,sensor_2,T24,LPC outlet total temperature,°R,LPC,0.17249346120935946
FD002,mid-life (RUL > 80),6,sensor_15,BPR,Bypass ratio,—,Performance,0.17175232861610218
FD002,mid-life (RUL > 80),7,sensor_13,NRf,Corrected fan speed,rpm,Fan,0.171338049936685
FD002,mid-life (RUL > 80),8,sensor_11,Ps30,HPC outlet static pressure,psia,HPC,0.17108445355333196
FD002,mid-life (RUL > 80),9,sensor_4,T50,LPT outlet total temperature,°R,LPT,0.17042307841750765
FD002,mid-life (RUL > 80),10,sensor_21,W32,LPT coolant bleed,lbm/s,LPT,0.16957800451458765
FD002,mid-life (RUL > 80),11,sensor_20,W31,HPT coolant bleed,lbm/s,HPT,0.168753523530851
FD002,mid-life (RUL > 80),12,sensor_14,NRc,Corrected core speed,rpm,Core,0.16266592157376716
FD002,mid-life (RUL > 80),13,sensor_8,Nf,Physical fan speed,rpm,Fan,0.16173657503631245
FD002,mid-life (RUL > 80),14,sensor_6,P15,Bypass-duct total pressure,psia,Fan,0.15853435791749415
FD002,mid-life (RUL > 80),15,sensor_10,epr,Engine pressure ratio (P50/P2),—,Performance,0.15391092807166837
FD002,mid-life (RUL > 80),16,sensor_12,phi,Fuel-flow / Ps30 ratio,pps/psia,Combustor,0.15118066110595887
FD002,mid-life (RUL > 80),17,sensor_9,Nc,Physical core speed,rpm,Core,0.14857014488695913
FD002,pre-warning (30 < RUL <= 80),1,sensor_16,farB,Burner fuel-air ratio,—,Combustor,0.29196171783631863
FD002,pre-warning (30 < RUL <= 80),2,sensor_8,Nf,Physical fan speed,rpm,Fan,0.22422908030877267
FD002,pre-warning (30 < RUL <= 80),3,sensor_13,NRf,Corrected fan speed,rpm,Fan,0.20757568869973644
FD002,pre-warning (30 < RUL <= 80),4,sensor_9,Nc,Physical core speed,rpm,Core,0.19940470512236394
FD002,pre-warning (30 < RUL <= 80),5,sensor_11,Ps30,HPC outlet static pressure,psia,HPC,0.19581621161068238
FD002,pre-warning (30 < RUL <= 80),6,sensor_7,P30,HPC outlet total pressure,psia,HPC,0.19105055393501139
FD002,pre-warning (30 < RUL <= 80),7,sensor_4,T50,LPT outlet total temperature,°R,LPT,0.18765941822484947
FD002,pre-warning (30 < RUL <= 80),8,sensor_14,NRc,Corrected core speed,rpm,Core,0.1873641983616195
FD002,pre-warning (30 < RUL <= 80),9,sensor_15,BPR,Bypass ratio,—,Performance,0.1864139563420466
FD002,pre-warning (30 < RUL <= 80),10,sensor_17,htBleed,Bleed enthalpy,—,HPC,0.1859244261602355
FD002,pre-warning (30 < RUL <= 80),11,sensor_3,T30,HPC outlet total temperature,°R,HPC,0.18333788493180284
FD002,pre-warning (30 < RUL <= 80),12,sensor_2,T24,LPC outlet total temperature,°R,LPC,0.17224180411997658
FD002,pre-warning (30 < RUL <= 80),13,sensor_20,W31,HPT coolant bleed,lbm/s,HPT,0.17033603406561568
FD002,pre-warning (30 < RUL <= 80),14,sensor_21,W32,LPT coolant bleed,lbm/s,LPT,0.1643295160342253
FD002,pre-warning (30 < RUL <= 80),15,sensor_10,epr,Engine pressure ratio (P50/P2),—,Performance,0.16391788896049433
FD002,pre-warning (30 < RUL <= 80),16,sensor_6,P15,Bypass-duct total pressure,psia,Fan,0.14622458964122897
FD002,pre-warning (30 < RUL <= 80),17,sensor_12,phi,Fuel-flow / Ps30 ratio,pps/psia,Combustor,0.13319226495979972
FD002,warning zone (RUL <= 30),1,sensor_16,farB,Burner fuel-air ratio,—,Combustor,0.48368191463852134
FD002,warning zone (RUL <= 30),2,sensor_8,Nf,Physical fan speed,rpm,Fan,0.410415023234866
FD002,warning zone (RUL <= 30),3,sensor_13,NRf,Corrected fan speed,rpm,Fan,0.36159099982822224
FD002,warning zone (RUL <= 30),4,sensor_11,Ps30,HPC outlet static pressure,psia,HPC,0.3374492347992528
FD002,warning zone (RUL <= 30),5,sensor_4,T50,LPT outlet total temperature,°R,LPT,0.32675996757634795
FD002,warning zone (RUL <= 30),6,sensor_7,P30,HPC outlet total pressure,psia,HPC,0.3193441224368424
FD002,warning zone (RUL <= 30),7,sensor_15,BPR,Bypass ratio,—,Performance,0.3050668951626925
FD002,warning zone (RUL <= 30),8,sensor_9,Nc,Physical core speed,rpm,Core,0.2881355253614576
FD002,warning zone (RUL <= 30),9,sensor_17,htBleed,Bleed enthalpy,—,HPC,0.26955091749181687
FD002,warning zone (RUL <= 30),10,sensor_3,T30,HPC outlet total temperature,°R,HPC,0.2533858635484057
FD002,warning zone (RUL <= 30),11,sensor_14,NRc,Corrected core speed,rpm,Core,0.24785691458150202
FD002,warning zone (RUL <= 30),12,sensor_2,T24,LPC outlet total temperature,°R,LPC,0.23906963730921107
FD002,warning zone (RUL <= 30),13,sensor_6,P15,Bypass-duct total pressure,psia,Fan,0.21125615914620227
FD002,warning zone (RUL <= 30),14,sensor_20,W31,HPT coolant bleed,lbm/s,HPT,0.20891814291760535
FD002,warning zone (RUL <= 30),15,sensor_21,W32,LPT coolant bleed,lbm/s,LPT,0.20193575095004893
FD002,warning zone (RUL <= 30),16,sensor_10,epr,Engine pressure ratio (P50/P2),—,Performance,0.196566114449707
FD002,warning zone (RUL <= 30),17,sensor_12,phi,Fuel-flow / Ps30 ratio,pps/psia,Combustor,0.18830397795310752
FD003,overall,1,sensor_14,NRc,Corrected core speed,rpm,Core,0.24822737902861194
FD003,overall,2,sensor_6,P15,Bypass-duct total pressure,psia,Fan,0.24194732945938074
FD003,overall,3,sensor_4,T50,LPT outlet total temperature,°R,LPT,0.20997330613797716
FD003,overall,4,sensor_9,Nc,Physical core speed,rpm,Core,0.20989387346787494
FD003,overall,5,sensor_15,BPR,Bypass ratio,—,Performance,0.20908332624306344
FD003,overall,6,sensor_10,epr,Engine pressure ratio (P50/P2),—,Performance,0.2048825029618105
FD003,overall,7,sensor_11,Ps30,HPC outlet static pressure,psia,HPC,0.198506830820321
FD003,overall,8,sensor_17,htBleed,Bleed enthalpy,—,HPC,0.19318959751178771
