subset,rul_bucket,rank,sensor_id,symbol,quantity,units,subsystem,total_abs_shap
FD004,warning zone (RUL <= 30),8,sensor_4,T50,LPT outlet total temperature,°R,LPT,0.32786055418161525
FD004,warning zone (RUL <= 30),9,sensor_10,epr,Engine pressure ratio (P50/P2),—,Performance,0.3163320693436998
FD004,warning zone (RUL <= 30),10,sensor_14,NRc,Corrected core speed,rpm,Core,0.3137932916493614
FD004,warning zone (RUL <= 30),11,sensor_12,phi,Fuel-flow / Ps30 ratio,pps/psia,Combustor,0.30029877697403795
FD004,warning zone (RUL <= 30),12,sensor_21,W32,LPT coolant bleed,lbm/s,LPT,0.2967639832436743
FD004,warning zone (RUL <= 30),13,sensor_17,htBleed,Bleed enthalpy,—,HPC,0.26070947585692916
FD004,warning zone (RUL <= 30),14,sensor_20,W31,HPT coolant bleed,lbm/s,HPT,0.23050626230816754
FD004,warning zone (RUL <= 30),15,sensor_2,T24,LPC outlet total temperature,°R,LPC,0.22819800131660828
FD004,warning zone (RUL <= 30),16,sensor_3,T30,HPC outlet total temperature,°R,HPC,0.22726609278735824
FD004,warning zone (RUL <= 30),17,sensor_6,P15,Bypass-duct total pressure,psia,Fan,0.14478552453694815
